lx_ft,ly_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
16.0,24.0,50.0,FEA,9.606299212598428,152.39008316534574,246.72899710936494,0.6644477915606763,true,0.10152072938591994,true,20.0,20.0,7.799999999999999,5.199999999999999,13.0,8.086
16.0,24.0,80.0,MDDM,9.606299212598428,182.0368781413504,294.72899710936497,0.9543558686982464,true,0.029101447609111642,true,20.0,20.0,8.6,5.199999999999999,13.799999999999999,0.046
16.0,24.0,80.0,DDM (Full),9.606299212598428,182.0368781413504,294.72899710936497,0.9543558686982464,true,0.029101447609111642,true,20.0,20.0,9.0,5.199999999999999,14.2,0.044
16.0,24.0,80.0,EFM (HC),9.606299212598428,182.0368781413504,294.72899710936497,0.7522185633931325,true,0.029101447609111642,true,20.0,20.0,11.2,5.199999999999999,16.4,0.106
16.0,24.0,80.0,EFM (ASAP),9.606299212598428,182.0368781413504,294.72899710936497,0.7522185633931325,true,0.029101447609111642,true,20.0,20.0,10.999999999999998,5.199999999999999,16.2,0.044
16.0,24.0,80.0,FEA,9.606299212598428,182.0368781413504,294.72899710936497,0.9051442126278195,true,0.2717247942962728,true,20.0,20.0,8.6,5.199999999999999,13.799999999999999,9.089
16.0,26.0,40.0,MDDM,10.393700787401576,160.1299644228836,242.42809523308338,0.7173388802840698,true,0.01148794362315262,true,21.0,21.0,8.999999999999998,5.999999999999999,14.999999999999998,0.054
16.0,26.0,40.0,DDM (Full),10.393700787401576,160.1299644228836,242.42809523308338,0.7173388802840698,true,0.01148794362315262,true,21.0,21.0,8.999999999999998,5.999999999999999,14.999999999999998,0.043
16.0,26.0,40.0,EFM (HC),10.393700787401576,160.1299644228836,242.42809523308338,0.5776201575521428,true,0.01148794362315262,true,21.0,21.0,10.399999999999999,5.999999999999999,16.4,0.11
16.0,26.0,40.0,EFM (ASAP),10.393700787401576,160.1299644228836,242.42809523308338,0.5776201575521428,true,0.01148794362315262,true,21.0,21.0,10.2,5.999999999999999,16.2,0.036
16.0,26.0,40.0,FEA,10.393700787401576,160.1299644228836,242.42809523308338,0.7361932530958982,true,0.07648281282366631,true,21.0,21.0,8.999999999999998,5.999999999999999,14.999999999999998,12.433
16.0,26.0,50.0,MDDM,10.393700787401576,170.69837411278695,258.4280952330834,0.7646824939585084,true,0.014359929528940767,true,21.0,21.0,8.999999999999998,5.999999999999999,14.999999999999998,0.04
16.0,26.0,50.0,DDM (Full),10.393700787401576,170.69837411278695,258.4280952330834,0.7646824939585084,true,0.014359929528940767,true,21.0,21.0,8.999999999999998,5.999999999999999,14.999999999999998,0.054
16.0,26.0,50.0,EFM (HC),10.393700787401576,170.69837411278695,258.4280952330834,0.6157424820787146,true,0.014359929528940767,true,21.0,21.0,10.6,5.999999999999999,16.599999999999998,0.054
16.0,26.0,50.0,EFM (ASAP),10.393700787401576,170.69837411278695,258.4280952330834,0.6157424820787146,true,0.014359929528940767,true,21.0,21.0,10.6,5.999999999999999,16.599999999999998,0.047
16.0,26.0,50.0,FEA,10.393700787401576,170.44908989240125,258.4280952330834,0.6225165922334273,true,0.08132282300821796,true,21.0,23.0,8.999999999999998,5.999999999999999,14.999999999999998,20.039
16.0,26.0,80.0,MDDM,10.393700787401576,202.4036031824971,306.4280952330834,0.9067133349818243,true,0.02297588724630524,true,21.0,21.0,9.4,5.999999999999999,15.399999999999999,0.043
16.0,26.0,80.0,DDM (Full),10.393700787401576,202.4036031824971,306.4280952330834,0.9067133349818243,true,0.02297588724630524,true,21.0,21.0,9.599999999999998,5.999999999999999,15.599999999999998,0.053
