lx_ft,ly_ft,story_ht_ft,live_psf,method,h_in,M0_kipft,qu_psf,punch_ratio,punch_ok,defl_ratio,defl_ok,col_min_in,col_max_in,As_cs_in2,As_ms_in2,As_total_in2,runtime_s
28.0,28.0,12.007874015748031,50.0,EFM (HC),11.194225721784777,636.4967702110193,270.32217832553044,1.0,true,0.061385866050469896,true,23.0,34.999999999999986,27.799999999999997,6.8,34.6,0.106
28.0,28.0,12.007874015748031,50.0,EFM (ASAP),11.194225721784777,636.4967702110193,270.32217832553044,1.0,true,0.061385866050469896,true,23.0,34.999999999999986,28.0,6.8,34.8,0.155
28.0,28.0,12.007874015748031,50.0,FEA,11.194225721784777,626.3154872897863,270.32217832553044,0.9548541912115626,true,0.17665893746314182,true,23.0,34.999999999999986,22.8,7.0,29.800000000000004,11.937
28.0,28.0,12.007874015748031,80.0,MDDM,11.999999999999998,752.9263870178212,330.29425540546896,1.0,true,0.285876718625789,true,23.0,34.999999999999986,25.8,8.0,33.800000000000004,15.051
28.0,28.0,12.007874015748031,80.0,DDM (Full),11.194225721784777,725.6352894786547,318.3221783255304,1.0,true,0.49475467153348685,true,23.0,34.999999999999986,26.599999999999998,7.799999999999999,34.4,11.861
28.0,28.0,12.007874015748031,80.0,EFM (HC),11.194225721784777,737.5277584254042,318.3221783255304,1.0,true,0.09821738568075185,true,23.0,34.999999999999986,33.199999999999996,7.0,40.2,0.091
28.0,28.0,12.007874015748031,80.0,EFM (ASAP),11.194225721784777,737.5277584254042,318.3221783255304,0.9999999999999999,true,0.09821738568075174,true,23.0,34.999999999999986,33.2,7.0,40.2,0.944
28.0,28.0,12.007874015748031,80.0,FEA,12.5,769.8610908654144,337.7231827140302,1.0,true,0.16636443648762558,true,23.0,34.999999999999986,24.799999999999997,7.799999999999999,32.599999999999994,17.487
32.0,32.0,12.007874015748031,40.0,MDDM,13.5,1006.2134172092437,288.5810373311526,1.0,true,0.08764325158979691,true,26.0,35.99999999999999,31.0,9.6,40.6,13.792
32.0,32.0,12.007874015748031,40.0,DDM (Full),12.795275590551181,969.7046025583247,278.1103445104246,1.0,true,0.21644304530939093,true,26.0,35.99999999999999,31.8,9.4,41.199999999999996,11.981
32.0,32.0,12.007874015748031,40.0,EFM (HC),12.795275590551181,982.0579880648336,278.1103445104246,1.0,true,0.049108692840375924,true,26.0,35.99999999999999,36.99999999999999,9.200000000000001,46.199999999999996,0.094
32.0,32.0,12.007874015748031,40.0,EFM (ASAP),12.795275590551181,982.0579880648336,278.1103445104246,0.9999999999999999,true,0.049108692840375924,true,26.0,35.99999999999999,37.199999999999996,9.200000000000001,46.4,0.17
32.0,32.0,12.007874015748031,40.0,FEA,12.795275590551181,969.7046025583247,278.1103445104246,1.0,true,0.1889361546475798,true,26.0,35.99999999999999,31.999999999999996,9.200000000000001,41.199999999999996,12.175
32.0,32.0,12.007874015748031,50.0,MDDM,13.5,1056.016125013976,304.58103733115263,1.0,true,0.16056386534661374,true,26.0,35.99999999999999,33.599999999999994,9.6,43.199999999999996,13.935
32.0,32.0,12.007874015748031,50.0,DDM (Full),13.5,1056.016125013976,304.58103733115263,1.0,true,0.1744984089449157,true,26.0,35.99999999999999,33.4,9.6,43.0,13.851
32.0,32.0,12.007874015748031,50.0,EFM (HC),12.795275590551181,1031.2888494574138,294.11034451042457,1.0,true,0.06138586605046996,true,26.0,35.99999999999999,39.400000000000006,9.200000000000001,48.6,0.917
32.0,32.0,12.007874015748031,50.0,EFM (ASAP),13.5,1068.0040108030148,304.58103733115263,1.0,true,0.05226560897622038,true,26.0,35.99999999999999,38.4,9.6,48.0,0.425
32.0,32.0,12.007874015748031,50.0,FEA,13.5,1056.016125013976,304.58103733115263,1.0,true,0.1870221299157146,true,26.0,35.99999999999999,33.599999999999994,9.6,43.199999999999996,14.332
32.0,32.0,12.007874015748031,80.0,MDDM,13.5,1208.6386543933697,352.58103733115263,1.0,true,0.4844659527882452,true,26.0,35.99999999999999,37.4,10.6,47.99999999999999,14.156
32.0,32.0,12.007874015748031,80.0,DDM (Full),14.0,1234.1048245929098,360.00996463971376,1.0,true,0.3302830510362777,true,26.0,35.99999999999999,36.199999999999996,10.6,46.8,14.484
32.0,32.0,12.007874015748031,80.0,EFM (HC),12.795275590551181,1182.7800091917343,342.1103445104246,1.0,true,0.09821738568075185,true,26.0,35.99999999999999,46.6,9.8,56.400000000000006,0.069
32.0,32.0,12.007874015748031,80.0,EFM (ASAP),12.795275590551181,1181.1046041953264,342.1103445104246,1.0,true,0.0982173856807519,true,26.0,35.99999999999999,46.6,10.0,56.6,0.115
32.0,32.0,12.007874015748031,80.0,FEA,12.795275590551181,1172.7453908837815,342.1103445104246,1.0,true,0.650470185094467,true,26.0,35.99999999999999,38.599999999999994,10.4,49.0,11.554
36.0,36.0,12.007874015748031,40.0,MDDM,15.0,1549.2047223746308,310.86781925683624,1.0,true,0.26131426697006943,true,28.999999999999996,34.99999999999999,43.0,12.2,55.2,8.381
36.0,36.0,12.007874015748031,40.0,DDM (Full),14.39632545931759,1504.5063190044903,301.89851069531875,1.0,true,0.3925952615382659,true,28.999999999999996,34.99999999999999,43.599999999999994,12.2,55.8,6.628
36.0,36.0,12.007874015748031,40.0,EFM (HC),14.39632545931759,1515.8285789763854,301.89851069531875,1.0,true,0.04910869284037596,true,28.999999999999996,34.99999999999999,51.0,11.4,62.400000000000006,0.043
